iter	Passed	Remaining
0	1	792
1	3	773
2	4	764
3	6	754
4	7	754
5	9	748
6	10	745
7	12	743
8	13	744
9	15	746
10	16	735
11	17	724
12	19	715
13	20	707
14	21	698
15	22	690
16	24	688
17	25	687
18	26	682
19	28	678
20	30	688
21	31	683
22	32	679
23	34	676
24	35	670
25	36	666
26	37	661
27	39	659
28	40	658
29	41	655
30	43	658
31	45	671
32	47	671
33	48	670
34	50	669
35	51	668
36	53	667
37	54	666
38	56	673
39	58	670
40	60	677
41	61	673
42	63	670
43	64	667
44	65	663
45	66	660
46	68	656
47	69	653
48	70	650
49	71	647
50	73	645
51	74	642
52	75	639
53	77	636
54	78	633
55	79	631
56	80	629
57	82	626
58	83	624
59	84	621
60	85	618
61	88	622
62	89	623
63	91	621
64	92	619
65	93	617
66	95	615
67	96	612
68	99	624
69	101	622
70	102	619
71	104	619
72	105	616
73	106	613
74	107	611
75	109	608
76	110	606
77	111	603
78	112	601
79	114	598
80	115	596
81	130	662
82	131	660
83	132	658
84	134	655
85	136	654
86	137	652
87	139	651
88	140	649
89	141	646
90	143	644
91	144	642
92	162	710
93	163	707
94	164	703
95	166	699
96	167	696
97	168	693
98	170	689
99	171	686
100	172	683
101	174	680
102	175	677
103	176	673
104	178	670
105	179	668
106	181	665
107	182	662
108	183	659
109	185	657
110	186	654
111	188	651
112	189	649
113	191	647
114	192	645
115	194	643
116	195	641
117	197	638
118	198	636
119	200	635
120	202	633
121	223	692
122	224	689
123	231	701
124	234	703
125	236	700
126	237	698
127	239	695
128	240	693
129	242	690
130	244	687
131	245	685
132	247	682
133	249	681
134	251	679
135	252	676
136	254	673
137	255	671
138	257	668
139	258	665
140	260	662
141	261	660
142	263	657
143	267	662
144	269	660
145	271	657
146	272	654
147	274	652
148	275	649
149	277	646
150	278	644
151	280	642
152	282	639
153	283	637
154	284	634
155	286	631
156	288	629
157	289	627
158	291	625
159	305	649
160	307	646
161	308	643
162	310	641
163	311	638
164	314	637
165	315	635
166	317	632
167	318	630
168	320	627
169	322	625
170	323	622
171	326	622
172	328	621
173	331	621
174	335	622
175	336	620
176	339	619
177	340	616
178	341	613
179	343	610
180	344	607
181	346	604
182	347	601
183	348	598
184	349	595
185	350	592
186	352	589
187	353	586
188	354	583
189	356	581
190	357	578
191	359	576
192	361	574
193	362	571
194	364	569
195	365	566
196	367	564
197	369	563
198	370	561
199	372	558
200	373	556
201	375	554
202	377	551
203	378	549
204	380	547
205	381	544
206	383	542
207	384	540
208	386	538
209	387	535
210	389	533
211	390	530
212	392	529
213	394	526
214	395	523
215	396	521
216	397	518
217	399	516
218	400	513
219	401	511
220	403	508
221	404	506
222	405	503
223	406	501
224	408	499
225	409	496
226	410	493
227	411	491
228	413	489
229	414	487
230	416	484
231	417	482
232	419	480
233	420	478
234	422	475
235	423	473
236	424	471
237	426	469
238	427	466
239	428	464
240	430	462
241	431	460
242	432	457
243	434	455
244	435	453
245	436	450
246	437	448
247	439	446
248	440	443
249	441	441
250	442	439
251	444	437
252	445	434
253	446	432
254	448	430
255	449	428
256	450	426
257	451	423
258	453	421
259	454	419
260	455	417
261	457	415
262	458	413
263	460	411
264	461	409
265	463	407
266	464	405
267	466	403
268	467	401
269	469	399
270	470	397
271	472	395
272	473	393
273	475	392
274	476	390
275	478	388
276	479	386
277	481	384
278	482	382
279	484	380
280	485	378
281	487	376
282	488	374
283	490	372
284	491	370
285	493	368
286	494	367
287	496	365
288	497	363
289	499	361
290	500	359
291	501	357
292	503	355
293	504	353
294	505	351
295	507	349
296	508	347
297	509	345
298	510	343
299	512	341
300	513	339
301	514	337
302	515	335
303	517	333
304	518	331
305	519	329
306	521	327
307	522	325
308	524	323
309	525	322
310	526	320
311	528	318
312	529	316
313	530	314
314	532	312
315	533	310
316	535	308
317	536	307
318	537	305
319	539	303
320	540	301
321	542	299
322	543	297
323	544	295
324	545	293
325	547	292
326	548	290
327	550	288
328	551	286
329	553	284
330	554	283
331	556	281
332	557	279
333	559	277
334	560	276
335	562	274
336	563	272
337	564	270
338	566	269
339	567	267
340	569	265
341	570	263
342	572	261
343	574	260
344	575	258
345	577	256
346	578	255
347	579	253
348	581	251
349	583	249
350	584	248
351	586	246
352	587	244
353	589	242
354	590	241
355	592	239
356	593	237
357	595	236
358	596	234
359	598	232
360	599	230
361	601	229
362	602	227
363	604	225
364	605	223
365	606	222
366	608	220
367	609	218
368	610	216
369	611	214
370	613	213
371	614	211
372	615	209
373	617	207
374	618	206
375	620	204
376	621	202
377	623	201
378	624	199
379	626	197
380	627	195
381	628	194
382	630	192
383	631	190
384	632	189
385	634	187
386	635	185
387	636	183
388	638	182
389	639	180
390	640	178
391	642	176
392	643	175
393	644	173
394	645	171
395	647	169
396	648	168
397	650	166
398	651	164
399	652	163
400	654	161
401	655	159
402	657	158
403	658	156
404	660	154
405	662	153
406	663	151
407	665	149
408	666	148
409	667	146
410	669	144
411	670	143
412	672	141
413	673	139
414	675	138
415	676	136
416	678	135
417	680	133
418	681	131
419	683	130
420	684	128
421	686	126
422	687	125
423	689	123
424	690	121
425	692	120
426	694	118
427	695	117
428	696	115
429	698	113
430	699	112
431	701	110
432	702	108
433	704	107
434	705	105
435	707	103
436	708	102
437	710	100
438	711	98
439	712	97
440	713	95
441	715	93
442	716	92
443	717	90
444	718	88
445	720	87
446	721	85
447	722	83
448	724	82
449	725	80
450	726	78
451	727	77
452	729	75
453	730	73
454	731	72
455	732	70
456	734	69
457	735	67
458	736	65
459	738	64
460	739	62
461	740	60
462	741	59
463	742	57
464	744	56
465	745	54
466	746	52
467	747	51
468	748	49
469	750	47
470	751	46
471	753	44
472	754	43
473	756	41
474	758	39
475	760	38
476	761	36
477	762	35
478	764	33
479	765	31
480	767	30
481	768	28
482	770	27
483	771	25
484	773	23
485	775	22
486	776	20
487	778	19
488	779	17
489	781	15
490	782	14
491	784	12
492	785	11
493	787	9
494	788	7
495	790	6
496	795	4
497	796	3
498	798	1
499	799	0
